277, -775, 981
312, -1011, 1222
231, -1141, 1180
208, -1256, 1199
161, -1368, 1175
118, -1508, 1071
89, -1411, 864
89, -1411, 864
100, -1271, 877
77, -1158, 764
23, -1025, 608
-8, -879, 575
-45, -803, 618
-40, -567, 627
-9, -350, 481
-9, -350, 481
0, -253, 425
21, -199, 212
53, -221, 110
54, -294, 61
54, -294, 61
84, -182, 119
156, -11, 199
232, 42, 234
232, 42, 234
279, 58, 319
323, 143, 474
426, 216, 595
513, 228, 741
513, 228, 741
612, 122, 682
695, -24, 732
747, -168, 863
781, -360, 933
817, -600, 903
817, -600, 903
856, -733, 882
893, -846, 915
-,-,-
496, -528, 897
486, -641, 876
557, -680, 971
557, -680, 971
657, -698, 792
709, -762, 903
742, -888, 1018
793, -839, 1038
884, -646, 1043
921, -529, 1078
942, -495, 1094
954, -407, 1046
931, -324, 1012
931, -324, 1012
866, -191, 952
815, -64, 954
747, -48, 973
655, -40, 915
575, 16, 772
575, 16, 772
468, 57, 645
361, 50, 511
223, -30, 414
148, -18, 305
148, -18, 305
96, 50, 220
23, 9, 169
23, 9, 169
-55, -72, 172
-125, -141, 194
-179, -165, 300
-218, -240, 409
-237, -342, 445
-286, -530, 274
-,-,-
352, -632, 714
352, -632, 714
310, -823, 843
297, -975, 1037
276, -1176, 847
251, -1304, 778
234, -1317, 881
221, -1292, 1077
162, -1256, 1115
151, -1175, 952
119, -1118, 802
59, -1117, 720
59, -1117, 720
6, -1095, 808
-24, -925, 712
-36, -777, 583
-72, -772, 529
-86, -649, 405
-19, -385, 352
-19, -385, 352
53, -185, 367
94, -92, 396
116, -44, 371
142, 42, 324
142, 42, 309
213, 106, 309
294, 116, 371
362, 178, 413
415, 235, 483
528, 212, 448
528, 212, 448
649, 233, 433
737, 199, 453
-,-,-
442, -415, 774
484, -535, 845
515, -585, 911
612, -591, 992
612, -591, 992
714, -603, 984
798, -703, 936
864, -660, 1041
897, -643, 1161
917, -565, 1180
949, -508, 1100
918, -513, 1025
907, -438, 1042
877, -310, 1059
877, -310, 1059
807, -204, 1000
739, -99, 870
685, 60, 772
598, 204, 701
475, 270, 652
475, 270, 652
358, 317, 531
251, 342, 342
150, 265, 193
77, 291, 141
77, 291, 141
14, 273, 170
-80, 157, 186
-197, -41, 217
-272, -199, 372
-327, -410, 503
-442, -864, 437
-442, -864, 437
-,-,-
385, -509, 835
352, -613, 640
301, -786, 884
351, -922, 1026
337, -1063, 820
321, -1183, 898
277, -1295, 1006
228, -1414, 1089
182, -1401, 1110
128, -1378, 964
88, -1217, 819
88, -1217, 819
62, -1045, 753
10, -924, 717
-56, -862, 616
-142, -803, 530
-146, -590, 432
-70, -313, 372
28, -122, 379
28, -122, 379
17, -121, 290
14, -80, 201
63, 26, 215
63, 26, 215
180, 156, 311
222, 160, 325
245, 148, 330
311, 160, 434
311, 160, 434
372, 124, 548
486, 65, 611
608, 5, 746
608, 5, 746
727, -47, 817
830, -213, 822
935, -454, 853
1010, -647, 946
-,-,-
23, -1133, 1114
-1, -1297, 1276
2, -1451, 1160
27, -1663, 887
27, -1663, 887
-8, -1741, 777
-13, -1758, 909
-21, -1407, 1040
-53, -1383, 1011
-156, -1278, 940
-179, -965, 736
-161, -670, 519
-184, -505, 435
-147, -305, 395
-99, -89, 339
-99, -89, 339
6, 220, 436
84, 316, 371
159, 339, 248
215, 261, 245
215, 261, 245
243, 232, 251
292, 257, 301
377, 196, 340
491, 52, 386
491, 52, 386
586, -67, 358
763, -107, 506
999, -238, 637
1161, -468, 708
-,-,-
-312, -994, 677
-368, -1207, 647
-400, -1365, 909
-382, -1455, 1095
-456, -1603, 1048
-425, -1513, 980
-478, -1854, 983
-564, -1998, 865
-577, -1942, 787
-492, -1506, 726
-365, -1072, 598
-367, -992, 517
-373, -825, 464
-338, -518, 527
-239, -208, 582
-239, -208, 582
-81, -89, 436
2, -8, 327
55, 97, 363
125, 226, 388
125, 226, 388
223, 245, 364
291, 167, 250
342, 157, 226
410, 127, 282
410, 127, 282
542, 51, 380
687, -39, 418
851, -108, 447
-,-,-
-114, -686, 591
-131, -754, 569
-84, -796, 806
-24, -842, 924
3, -1093, 874
19, -1187, 886
37, -1368, 996
15, -1589, 1121
15, -1589, 1121
16, -1606, 951
41, -1409, 817
63, -1231, 838
54, -1034, 855
45, -815, 732
14, -714, 670
-14, -696, 591
-14, -696, 591
-19, -559, 505
-16, -369, 440
18, -157, 364
34, -96, 349
44, -157, 258
44, -157, 258
118, -81, 151
232, 79, 190
301, 180, 198
370, 142, 204
370, 142, 204
437, -1, 205
509, -64, 268
586, -87, 401
686, -194, 579
-,-,-
-119, -740, 836
-112, -903, 752
-152, -1094, 725
-153, -923, 510
-112, -847, 886
-99, -963, 899
-89, -1165, 685
-82, -1244, 769
-82, -1244, 769
-104, -1247, 1130
-150, -1453, 1319
-165, -1486, 1161
-116, -1278, 862
-64, -1107, 784
-40, -1024, 822
-31, -1012, 697
-31, -856, 452
-35, -782, 378
-15, -454, 458
52, -111, 523
103, -12, 443
103, -12, 443
97, -38, 395
85, -59, 365
130, 10, 335
221, 41, 206
221, 41, 206
280, -20, 129
306, -143, 111
419, -46, 180
622, 138, 322
622, 138, 322
767, 240, 417
852, 43, 569
914, -274, 710
971, -520, 759
971, -520, 759
-,-,-
65, -667, 789
144, -849, 654
83, -1171, 612
5, -1429, 666
5, -1429, 666
4, -1515, 920
25, -1695, 1066
-89, -1726, 1100
-150, -1527, 1013
-168, -1296, 1141
-254, -1296, 1016
-386, -1297, 741
-507, -1161, 579
-592, -1066, 502
-600, -842, 519
-543, -528, 487
-464, -222, 337
-342, 92, 337
-217, 226, 311
-217, 226, 311
-115, 273, 209
57, 377, 232
193, 428, 206
306, 390, 122
478, 344, 237
478, 344, 237
695, 277, 426
913, 115, 705
-,-,-
54, -933, 720
64, -1193, 723
36, -1280, 887
30, -1305, 1109
-35, -1208, 1055
-74, -1256, 1055
-133, -1207, 1084
-179, -1036, 893
-240, -947, 835
-319, -930, 747
-333, -812, 577
-333, -812, 577
-318, -636, 481
-285, -501, 401
-201, -379, 335
-98, -194, 342
-41, -92, 269
24, -15, 140
156, 112, 185
156, 112, 185
284, 198, 256
429, 251, 306
610, 379, 418
769, 445, 554
769, 445, 554
-,-,-
-233, -1045, 614
-125, -1102, 546
-261, -1289, 601
-392, -1838, 1295
-391, -1990, 1078
-323, -1789, 1096
-333, -1810, 1322
-371, -1757, 1103
-364, -1509, 1003
-302, -1176, 957
-334, -955, 888
-347, -772, 919
-238, -404, 815
-208, -305, 659
-232, -300, 445
-154, -96, 275
-48, 127, 268
